name,value,pretty_value,boot_val,unit,context,vartype,min_val,max_val,enumvals
lock_timeout,0,"",0,ms,user,integer,0,2147483647,""
lo_compat_privileges,off,"",off,"",superuser,bool,,,""
log_autovacuum_min_duration,600000,"",600000,ms,sighup,integer,-1,2147483647,""
log_checkpoints,on,"",on,"",sighup,bool,,,""
log_connections,"","","","",superuser-backend,string,,,""
log_destination,stderr,"",stderr,"",sighup,string,,,""
log_directory,log,"",log,"",sighup,string,,,""
log_disconnections,off,"",off,"",superuser-backend,bool,,,""
log_duration,off,"",off,"",superuser,bool,,,""
log_error_verbosity,default,"",default,"",superuser,enum,,,"{terse,default,verbose}"
log_executor_stats,off,"",off,"",superuser,bool,,,""
log_file_mode,0600,"",384,"",sighup,integer,0,511,""
log_filename,postgresql-%Y-%m-%d_%H%M%S.log,"",postgresql-%Y-%m-%d_%H%M%S.log,"",sighup,string,,,""
logging_collector,off,"",off,"",postmaster,bool,,,""
log_hostname,off,"",off,"",sighup,bool,,,""
logical_decoding_work_mem,65536,"",65536,kB,user,integer,64,2147483647,""
log_line_prefix,%m [%p] ,"",%m [%p] ,"",sighup,string,,,""
log_lock_failures,off,"",off,"",superuser,bool,,,""
log_lock_waits,off,"",off,"",superuser,bool,,,""
log_min_duration_sample,-1,"",-1,ms,superuser,integer,-1,2147483647,""
log_min_duration_statement,-1,"",-1,ms,superuser,integer,-1,2147483647,""
log_min_error_statement,error,"",error,"",superuser,enum,,,"{debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic}"
log_min_messages,warning,"",warning,"",superuser,enum,,,"{debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic}"
log_parameter_max_length,-1,"",-1,B,superuser,integer,-1,1073741823,""
log_parameter_max_length_on_error,0,"",0,B,user,integer,-1,1073741823,""
log_parser_stats,off,"",off,"",superuser,bool,,,""
log_planner_stats,off,"",off,"",superuser,bool,,,""
log_recovery_conflict_waits,off,"",off,"",sighup,bool,,,""
log_replication_commands,off,"",off,"",superuser,bool,,,""
log_rotation_age,1440,"",1440,min,sighup,integer,0,35791394,""
log_rotation_size,10240,"",10240,kB,sighup,integer,0,2147483647,""
log_startup_progress_interval,10000,"",10000,ms,sighup,integer,0,2147483647,""
log_statement,none,"",none,"",superuser,enum,,,"{none,ddl,mod,all}"
log_statement_sample_rate,1,"",1,"",superuser,real,0,1,""
log_statement_stats,off,"",off,"",superuser,bool,,,""
log_temp_files,-1,"",-1,kB,superuser,integer,-1,2147483647,""
log_timezone,Etc/UTC,"",GMT,"",sighup,string,,,""
log_transaction_sample_rate,0,"",0,"",superuser,real,0,1,""
log_truncate_on_rotation,off,"",off,"",sighup,bool,,,""
maintenance_io_concurrency,16,"",16,"",user,integer,0,1000,""
maintenance_work_mem,65536,"",65536,kB,user,integer,64,2147483647,""
max_active_replication_origins,10,"",10,"",postmaster,integer,0,262143,""
max_connections,100,"",100,"",postmaster,integer,1,262143,""
max_files_per_process,1000,"",1000,"",postmaster,integer,64,2147483647,""
max_function_args,100,"",100,"",internal,integer,100,100,""
max_identifier_length,63,"",63,"",internal,integer,63,63,""
max_index_keys,32,"",32,"",internal,integer,32,32,""
max_locks_per_transaction,64,"",64,"",postmaster,integer,10,2147483647,""
max_logical_replication_workers,4,"",4,"",postmaster,integer,0,262143,""
max_notify_queue_pages,1048576,"",1048576,"",postmaster,integer,64,2147483647,""
max_parallel_apply_workers_per_subscription,2,"",2,"",sighup,integer,0,1024,""
max_parallel_maintenance_workers,2,"",2,"",user,integer,0,1024,""
max_parallel_workers,8,"",8,"",user,integer,0,1024,""
max_parallel_workers_per_gather,2,"",2,"",user,integer,0,1024,""
max_pred_locks_per_page,2,"",2,"",sighup,integer,0,2147483647,""
max_pred_locks_per_relation,-2,"",-2,"",sighup,integer,-2147483648,2147483647,""
max_pred_locks_per_transaction,64,"",64,"",postmaster,integer,10,2147483647,""
max_prepared_transactions,0,"",0,"",postmaster,integer,0,262143,""
max_replication_slots,10,"",10,"",postmaster,integer,0,262143,""
max_slot_wal_keep_size,-1,"",-1,MB,sighup,integer,-1,2147483647,""
max_stack_depth,2048,"",100,kB,superuser,integer,100,2147483647,""
max_standby_archive_delay,30000,"",30000,ms,sighup,integer,-1,2147483647,""
max_standby_streaming_delay,30000,"",30000,ms,sighup,integer,-1,2147483647,""
max_sync_workers_per_subscription,2,"",2,"",sighup,integer,0,262143,""
max_wal_senders,10,"",10,"",postmaster,integer,0,262143,""
max_wal_size,1024,"",1024,MB,sighup,integer,2,2147483647,""
max_worker_processes,8,"",8,"",postmaster,integer,0,262143,""
md5_password_warnings,on,"",on,"",user,bool,,,""
min_dynamic_shared_memory,0,"",0,MB,postmaster,integer,0,2147483647,""
min_parallel_index_scan_size,64,"",64,8kB,user,integer,0,715827882,""
min_parallel_table_scan_size,1024,"",1024,8kB,user,integer,0,715827882,""
min_wal_size,80,"",80,MB,sighup,integer,2,2147483647,""
multixact_member_buffers,32,"",32,8kB,postmaster,integer,16,131072,""
multixact_offset_buffers,16,"",16,8kB,postmaster,integer,16,131072,""
notify_buffers,16,"",16,8kB,postmaster,integer,16,131072,""
num_os_semaphores,174,"",0,"",internal,integer,0,2147483647,""
oauth_validator_libraries,"","","","",sighup,string,,,""
parallel_leader_participation,on,"",on,"",user,bool,,,""
parallel_setup_cost,1000,"",1000,"",user,real,0,1.79769e+308,""
parallel_tuple_cost,0.1,"",0.1,"",user,real,0,1.79769e+308,""
password_encryption,scram-sha-256,"",scram-sha-256,"",user,enum,,,"{md5,scram-sha-256}"
pg_stat_statements.max,5000,"",5000,"",postmaster,integer,100,1073741823,""
pg_stat_statements.save,on,"",on,"",sighup,bool,,,""
pg_stat_statements.track,top,"",top,"",superuser,enum,,,"{none,top,all}"
pg_stat_statements.track_planning,off,"",off,"",superuser,bool,,,""
